customer_id,transaction_id,date,segment,region,business_type,employment_status,income,loan_amount,existing_debt,transaction_amount,transaction_frequency,account_age_months,repayment_history_score,defaulted,repayment_status,risk_score,risk_level,suspicious_category
CUST-10312,TXN-200000,2026-03-29,Agriculture,Abuja,Transport,Self-employed,138973.0,318944.0,80433.0,21072.0,32,75,55.5,1,Defaulted,44.9,Medium,Loan-to-income mismatch
CUST-12708,TXN-200001,2025-07-07,Retail,Kumasi,Fintech Agent,Unemployed,134270.0,155117.0,51492.0,27188.0,23,24,79.2,0,Repaid,5.8,Low,Normal
CUST-12291,TXN-200002,2025-07-11,Market Trader,Kigali,Health,Contract,224800.0,89035.0,20971.0,32278.0,31,14,100.0,0,Repaid,1.0,Low,Normal
CUST-11536,TXN-200003,2026-04-08,SME,Nairobi,Shop,Informal,229584.0,381048.0,4965.0,97853.0,23,55,88.8,0,Repaid,7.6,Low,Loan-to-income mismatch
CUST-11515,TXN-200004,2026-02-18,Market Trader,Kumasi,Health,Salaried,129997.0,26148.0,43297.0,49659.0,22,80,66.2,0,Repaid,1.0,Low,Normal
CUST-13005,TXN-200005,2026-02-07,Services,Kigali,Transport,Salaried,137403.0,264796.0,84917.0,8428.0,30,12,90.3,0,Repaid,5.7,Low,Loan-to-income mismatch
CUST-10300,TXN-200006,2026-01-10,Services,Kano,Transport,Informal,204286.0,275163.0,77782.0,28821.0,25,38,78.2,1,Defaulted,8.8,Low,Normal
CUST-12440,TXN-200007,2025-12-04,SME,Kano,Food,Self-employed,114969.0,145689.0,29312.0,324581.0,22,52,71.3,0,Repaid,4.6,Low,Unusually high amount
CUST-10705,TXN-200008,2025-10-12,Agriculture,Lagos,Transport,Salaried,136978.0,197818.0,5408.0,32288.0,28,23,70.1,0,Repaid,4.4,Low,Normal
CUST-10329,TXN-200009,2026-01-04,Services,Kumasi,Health,Salaried,168996.0,224161.0,100795.0,32487.0,32,82,68.4,0,Repaid,8.2,Low,Normal
CUST-11842,TXN-200010,2025-01-18,SME,Abuja,Transport,Contract,247284.0,222255.0,55913.0,64577.0,35,58,83.7,0,Repaid,1.4,Low,Normal
CUST-13414,TXN-200011,2025-01-30,Agriculture,Abuja,Fintech Agent,Salaried,126256.0,101630.0,58584.0,41652.0,22,50,74.5,0,Repaid,2.5,Low,Normal
CUST-12575,TXN-200012,2026-03-25,Retail,Lagos,Shop,Self-employed,75072.0,82726.0,34336.0,33705.0,24,15,58.9,0,Repaid,8.4,Low,Normal
CUST-12663,TXN-200013,2025-02-17,Agriculture,Nairobi,Transport,Salaried,72768.0,157666.0,13094.0,87960.0,28,8,58.0,0,Repaid,8.4,Low,Loan-to-income mismatch
CUST-12511,TXN-200014,2025-12-02,Retail,Abuja,Food,Salaried,95899.0,46082.0,5771.0,45172.0,18,17,77.5,0,Repaid,1.4,Low,Normal
CUST-12751,TXN-200015,2025-06-12,Retail,Kigali,Education,Self-employed,93758.0,84474.0,24616.0,41279.0,29,4,79.7,0,Repaid,1.0,Low,Normal
CUST-11796,TXN-200016,2026-01-21,SME,Abuja,Fintech Agent,Salaried,152522.0,92567.0,33523.0,35202.0,25,52,66.4,0,Repaid,2.3,Low,Normal
CUST-10448,TXN-200017,2025-09-01,Retail,Lagos,Education,Self-employed,98782.0,111450.0,45554.0,45623.0,37,82,51.6,1,Defaulted,10.8,Low,Normal
